arm,seed,session,val_heldout_r2_mean,test_heldout_r2_mean,test_heldin_r2_mean,test_heldout_session_r2,best_checkpoint
tr4,42,sub-C_ses-CO-20161006,0.1319916546344757,-0.09871368855237961,-0.09871368855237961,-0.1961289942264557,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_tr4_s42/best-epoch=020-val_heldout/r2_mean=0.1320.ckpt
tr4,42,sub-C_ses-CO-20161007,0.1319916546344757,-0.09871368855237961,-0.09871368855237961,0.020575419068336487,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_tr4_s42/best-epoch=020-val_heldout/r2_mean=0.1320.ckpt
tr4,42,sub-C_ses-CO-20161011,0.1319916546344757,-0.09871368855237961,-0.09871368855237961,-0.09593050926923752,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_tr4_s42/best-epoch=020-val_heldout/r2_mean=0.1320.ckpt
tr4,42,sub-C_ses-CO-20161013,0.1319916546344757,-0.09871368855237961,-0.09871368855237961,-0.07467210292816162,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_tr4_s42/best-epoch=020-val_heldout/r2_mean=0.1320.ckpt
tr4,42,sub-C_ses-CO-20161021,0.1319916546344757,-0.09871368855237961,-0.09871368855237961,-0.024703599512577057,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_tr4_s42/best-epoch=020-val_heldout/r2_mean=0.1320.ckpt
trs4,42,sub-C_ses-CO-20160923,0.21318161487579346,-0.1302163302898407,-0.1302163302898407,-0.19514968991279602,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trs4_s42/best-epoch=033-val_heldout/r2_mean=0.2132.ckpt
trs4,42,sub-C_ses-CO-20160929,0.21318161487579346,-0.1302163302898407,-0.1302163302898407,-0.11813187599182129,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trs4_s42/best-epoch=033-val_heldout/r2_mean=0.2132.ckpt
trs4,42,sub-C_ses-CO-20161005,0.21318161487579346,-0.1302163302898407,-0.1302163302898407,0.004265904426574707,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trs4_s42/best-epoch=033-val_heldout/r2_mean=0.2132.ckpt
trs4,42,sub-C_ses-CO-20161006,0.21318161487579346,-0.1302163302898407,-0.1302163302898407,-0.13414281606674194,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trs4_s42/best-epoch=033-val_heldout/r2_mean=0.2132.ckpt
trs4,42,sub-C_ses-CO-20161007,0.21318161487579346,-0.1302163302898407,-0.1302163302898407,0.10990216583013535,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trs4_s42/best-epoch=033-val_heldout/r2_mean=0.2132.ckpt
trs4,42,sub-C_ses-CO-20161011,0.21318161487579346,-0.1302163302898407,-0.1302163302898407,-0.32390785217285156,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trs4_s42/best-epoch=033-val_heldout/r2_mean=0.2132.ckpt
trs4,42,sub-C_ses-CO-20161013,0.21318161487579346,-0.1302163302898407,-0.1302163302898407,-0.23898537456989288,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trs4_s42/best-epoch=033-val_heldout/r2_mean=0.2132.ckpt
trs4,42,sub-C_ses-CO-20161021,0.21318161487579346,-0.1302163302898407,-0.1302163302898407,-0.14558106660842896,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trs4_s42/best-epoch=033-val_heldout/r2_mean=0.2132.ckpt
trls4,42,sub-C_ses-CO-20160923,0.20932559669017792,-0.11182989925146103,-0.11182989925146103,-0.335066556930542,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trls4_s42/best-epoch=015-val_heldout/r2_mean=0.2093.ckpt
trls4,42,sub-C_ses-CO-20160929,0.20932559669017792,-0.11182989925146103,-0.11182989925146103,0.06744839251041412,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trls4_s42/best-epoch=015-val_heldout/r2_mean=0.2093.ckpt
trls4,42,sub-C_ses-CO-20161005,0.20932559669017792,-0.11182989925146103,-0.11182989925146103,-0.0205518938601017,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trls4_s42/best-epoch=015-val_heldout/r2_mean=0.2093.ckpt
trls4,42,sub-C_ses-CO-20161006,0.20932559669017792,-0.11182989925146103,-0.11182989925146103,-0.16736479103565216,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trls4_s42/best-epoch=015-val_heldout/r2_mean=0.2093.ckpt
trls4,42,sub-C_ses-CO-20161007,0.20932559669017792,-0.11182989925146103,-0.11182989925146103,-0.05866413563489914,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trls4_s42/best-epoch=015-val_heldout/r2_mean=0.2093.ckpt
trls4,42,sub-C_ses-CO-20161011,0.20932559669017792,-0.11182989925146103,-0.11182989925146103,-0.12026898562908173,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trls4_s42/best-epoch=015-val_heldout/r2_mean=0.2093.ckpt
trls4,42,sub-C_ses-CO-20161013,0.20932559669017792,-0.11182989925146103,-0.11182989925146103,-0.08221612870693207,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trls4_s42/best-epoch=015-val_heldout/r2_mean=0.2093.ckpt
trls4,42,sub-C_ses-CO-20161021,0.20932559669017792,-0.11182989925146103,-0.11182989925146103,-0.17795507609844208,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trls4_s42/best-epoch=015-val_heldout/r2_mean=0.2093.ckpt
trz4,42,sub-C_ses-CO-20160923,0.17077791690826416,-0.061625443398952484,-0.061625443398952484,-0.1698540598154068,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trz4_s42/best-epoch=009-val_heldout/r2_mean=0.1708.ckpt
trz4,42,sub-C_ses-CO-20160929,0.17077791690826416,-0.061625443398952484,-0.061625443398952484,-0.025811485946178436,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trz4_s42/best-epoch=009-val_heldout/r2_mean=0.1708.ckpt
trz4,42,sub-C_ses-CO-20161005,0.17077791690826416,-0.061625443398952484,-0.061625443398952484,0.016489766538143158,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trz4_s42/best-epoch=009-val_heldout/r2_mean=0.1708.ckpt
trz4,42,sub-C_ses-CO-20161006,0.17077791690826416,-0.061625443398952484,-0.061625443398952484,-0.13095587491989136,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trz4_s42/best-epoch=009-val_heldout/r2_mean=0.1708.ckpt
trz4,42,sub-C_ses-CO-20161007,0.17077791690826416,-0.061625443398952484,-0.061625443398952484,0.01599155180156231,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trz4_s42/best-epoch=009-val_heldout/r2_mean=0.1708.ckpt
trz4,42,sub-C_ses-CO-20161011,0.17077791690826416,-0.061625443398952484,-0.061625443398952484,-0.043072450906038284,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trz4_s42/best-epoch=009-val_heldout/r2_mean=0.1708.ckpt
trz4,42,sub-C_ses-CO-20161013,0.17077791690826416,-0.061625443398952484,-0.061625443398952484,-0.005873478949069977,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trz4_s42/best-epoch=009-val_heldout/r2_mean=0.1708.ckpt
trz4,42,sub-C_ses-CO-20161021,0.17077791690826416,-0.061625443398952484,-0.061625443398952484,-0.14991752803325653,/home/ial-mohd/workspace/iBCI/sua_exploration/checkpoints/template_ridge_db_heldout_spint_trz4_s42/best-epoch=009-val_heldout/r2_mean=0.1708.ckpt
